Probe ID,Gene Symbol,Gene ID
1553374_at,,55412
1553375_at,,114781
1553376_a_at,,126859
1553378_a_at,,256957
1553380_at,,165631
1553383_at,,143872
1553385_at,,84931
1553386_at,,84879
1553387_at,ATM,472
1553388_at,,221301
1553389_at,,151602
1553390_at,,285973
1553391_at,,254158
1553392_at,,146779
1553394_a_at,TFAP2B,7021
1553395_a_at,,131450
1553396_a_at,,152206
1553397_at,,152206
1553398_at,,114137
1553399_a_at,,147081
1553400_a_at,,147081
1553401_at,MRGX1,259249
1553402_a_at,HFE,3077
1553403_at,insl7,117579
1553405_a_at,CSMD1,64478
1553407_at,MACF1,23499
1553409_at,ADAMTS20,80070
1553410_a_at,ABCC12,94160
1553411_s_at,SALL3,27164
1553412_at,,84871
1553413_at,,80078
1553415_at,VGLUT3,246213
1553417_at,,283171
1553418_a_at,caspr5,129684
1553420_at,,150538
1553422_s_at,A2BP1,54715
1553423_a_at,,146857
1553424_at,,283461
1553425_at,,149465
1553426_at,,285668
1553427_at,ADAMTS15,170689
1553428_at,,285780
1553429_at,,158263
1553430_a_at,EDARADD,128178
1553432_s_at,OTOA,146183
1553433_at,,203238
1553434_at,,163720
1553435_at,,147276
1553436_at,,283463
1553437_at,,127707
1553438_at,,283135
1553439_at,,286309
1553440_at,,147429
1553441_at,CASPR4,85445
1553442_a_at,CASPR4,85445
1553443_at,,286051
1553444_a_at,,148345
1553446_at,,285754
1553447_at,,123624
1553448_at,,285759
1553449_at,,283860
1553450_s_at,,283860
1553451_at,,283847
1553452_at,,283446
1553453_at,ASB14,142686
1553454_at,,126638
1553456_at,,219848
1553457_at,,286485
1553458_at,,196740
1553459_at,,284992
1553460_at,,285051
1553461_at,,286476
1553462_at,,152897
1553464_at,,286023
1553465_a_at,,221223
1553466_at,,286464
1553467_at,,158722
1553468_at,,84907
1553470_at,,284176
1553471_at,,146861
1553472_at,,150596
1553474_at,,
1553475_at,,55448
1553478_at,,283165
1553479_at,,284339
1553482_at,,145858
1553483_at,,254187
1553484_at,,144360
1553485_at,,151278
1553486_a_at,,284099
1553488_at,,146279
1553489_a_at,,146279
1553491_at,,283455
1553492_a_at,PAX1,5075
1553493_a_at,,157739
1553494_at,,157739
1553497_at,,255055
1553498_at,,55438
1553499_s_at,,
1553500_at,FBXL3B,26223
1553502_a_at,PALM2,114299
1553504_at,MRGX4,117196
1553505_at,,144568
1553506_at,CPO,130749
1553507_a_at,GPR6,2830
1553508_at,,259283
1553510_s_at,RQCD1,9125
1553511_at,GJC1,125111
1553512_at,HOXC12,3228
1553513_at,VNN3,55350
1553514_a_at,VNN3,55350
1553515_at,,150678
1553517_at,NTWIST,222894
1553518_at,,170949
1553519_at,,246705
1553521_at,DEFB104,140596
1553523_at,NALP14,
1553524_at,DGKB,1607
1553525_at,NALP13,
1553526_at,NALP8,
1553527_at,NALP9,
1553528_a_at,TAF5,6877
1553529_at,TAS1R2,80834
1553530_a_at,ITGB1,3688
1553531_at,PACE4,5046
1553532_a_at,,84905
1553533_at,JPH1,56704
1553534_at,NALP10,
1553535_a_at,RANGAP1,5905
1553536_at,,55479
1553537_at,KRT6IRS3,
