"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CASP5",2.01994009541363,81.671670031271,2.96869239131533,0.00424469342024406,0.0237040141917532,-2.00514048459196
"CTSH",9.07997817955111,127.143245061948,2.96858497428887,0.00424599035955717,0.0237053690865967,-2.00539287279561
"LOC654123",-4.31516683833894,91.8383802398765,-2.96854698556293,0.00424644911862728,0.0237053690865967,-2.005482129933
"TRIM23",-37.7480399544617,230.491610260064,-2.96786831022656,0.004254652693082,0.0237438102098353,-2.00707658517151
"MIRLET7E",-2.61584747370704,85.1087855757432,-2.96785193771541,0.00425485077960763,0.0237438102098353,-2.00711504689469
"LOC642278",-3.43664791824787,89.8785239282745,-2.96747503212406,0.00425941322605532,0.0237605429388792,-2.00800041767392
"LOC642650",-2.96293966171529,92.7354550132605,-2.96743777312996,0.00425986449330839,0.0237605429388792,-2.00808793656024
"MBD3L1",2.43011669196573,80.9097316233226,2.96741633586975,0.00426012415365492,0.0237605429388792,-2.00813829089068
"PRR20D",-42.0730711265315,174.809523809524,-2.96708694706718,0.00426411574776063,0.0237785732052557,-2.00891196450149
"LOC652697",-24.8180090534533,160.865075406721,-2.96699491329878,0.0042652316505972,0.0237805637971197,-2.00912812374905
"ADA",4.83275371354223,92.060131417488,2.96685518108002,0.00426692641223088,0.023782983468542,-2.00945630282223
"PRDX2",-15.9457622248726,154.491655781182,-2.96672816607264,0.00426846747401141,0.023782983468542,-2.00975460417689
"ERV3",4.20137062235715,94.2963127894549,2.9666762630889,0.00426909735705558,0.023782983468542,-2.00987649837283
"ARHGAP26",-11.0882742871083,117.536064600404,-2.96665492410941,0.00426935634719596,0.023782983468542,-2.00992661253393
"LOC645227",5.10394611297842,95.0012805288366,2.96664632535829,0.00426946071393849,0.023782983468542,-2.00994680645297
"RCC1",2.78228315081861,83.5763468313344,2.96648702945115,0.00427139458550831,0.0237895268294201,-2.01032090062899
"TMTC4",17.0913969153204,113.193890274314,2.9663643419567,0.00427288458106128,0.0237935961370134,-2.01060901284638
"ENC1",-96.3410542936138,285.538449511143,-2.96606538016551,0.00427651738614342,0.0238069501136979,-2.01131104128336
"EFR3B",-17.3396343380679,159.979139452955,-2.96591589354281,0.00427833493380291,0.0238069501136979,-2.01166204972701
"C1orf95",-8.51721985796379,116.945044135693,-2.96591452619854,0.00427835156210189,0.0238069501136979,-2.01166526031892
"C18orf22",28.1144803751491,158.26146340498,2.96587704574758,0.00427880738593202,0.0238069501136979,-2.01175326585226
"AHCYL1",64.7039539737612,376.81014725092,2.9658544995918,0.00427908160593434,0.0238069501136979,-2.01180620470081
"LOC648718",-13.1923755827822,128.442548390927,-2.96577700867044,0.0042800242219084,0.023807967152366,-2.0119881527929
"C16orf30",4.95292028081969,89.6516070933777,2.96540393102863,0.00428456511705299,0.0238289959846891,-2.01286408803939
"FUT7",-7.09078729805921,98.1423940149626,-2.96525081303912,0.00428643007932657,0.0238351375520175,-2.01322356501547
"STOML1",-14.3784104955004,127.456592645371,-2.96477122876136,0.0042922762488943,0.0238571898947319,-2.01434940384906
"LOC729933",2.40847595684701,84.3072893163916,2.96475956246282,0.00429241855418793,0.0238571898947319,-2.01437678919942
"SH2D3C",-7.17975346958691,101.126133079998,-2.96473812592685,0.00429268004807872,0.0238571898947319,-2.01442710890205
"ANXA2P1",32.3794679063211,125.999192494953,2.96456517628323,0.00429479031799686,0.0238588144073311,-2.01483307784663
"MS4A4A",4.94319947414074,86.8896073308792,2.96455611232652,0.00429490093972951,0.0238588144073311,-2.01485435342143
"OR5B21",2.16753090100834,82.5846455290346,2.9645069794408,0.00429550063172931,0.0238588144073311,-2.01496968086434
"FGD6",3.77069269760381,87.9107825673911,2.96446458895886,0.00429601809172662,0.0238588144073311,-2.01506918104886
"LOC100131061",6.06084882901442,105.319008035467,2.96436107659809,0.00429728190888378,0.0238616039930825,-2.01531214396982
"TNRC9",-4.90299793993278,92.2292601828761,-2.96420060781013,0.00429924180868473,0.0238682570576413,-2.01568878215149
"SNRPD2",-23.8540823213705,259.259359537664,-2.96409669703477,0.00430051137492329,0.0238710758940384,-2.01593266447331
"ANO1",-4.53195977447686,98.8702232513953,-2.96385531930732,0.00430346183549286,0.023883222308419,-2.01649916275334
