"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FTHL11",-53.5704068938013,989.37854952782,-1.61897827259414,0.110681460663811,0.154950088841026,-4.60139314903017
"LOC100133483",1.62109801509739,86.0254180123462,1.61884354761267,0.110710518036677,0.15498384363853,-4.60158504404122
"NPY5R",4.21120635910226,128.342508482891,1.61872862802055,0.110735308679144,0.155011622683716,-4.60174871785659
"MARS",10.8162318022512,177.332719430931,1.61861141869479,0.110760597894947,0.155040097138275,-4.60191564194341
"PFDN4",6.59952273033632,113.652880094845,1.61856543275214,0.110770521150326,0.155047061097307,-4.60198112999132
"ARHGAP28",-1.71761109613355,89.1365888557295,-1.61817935918811,0.110853859918069,0.155156780572331,-4.6025308662118
"C2CD4B",-3.98828491833479,100.258141531417,-1.61810599508566,0.110869702205889,0.155172022910458,-4.6026353170396
"TFB1M",2.34083400732403,99.5843035852991,1.61808187861621,0.110874910330763,0.155172381093579,-4.60266965149172
"PTGFRN",-1.61018442070499,86.499717918319,-1.61786226977213,0.110922345550168,0.155224914828054,-4.60298228570307
"LOC100131967",-4.74501991080856,116.471836801439,-1.61786222657016,0.110922354883352,0.155224914828054,-4.60298234720143
"OAF",5.83517459167397,114.200314786803,1.61771475885746,0.110954216932232,0.155262568477784,-4.60319225996467
"JSRP1",1.26783955089753,79.957520134091,1.61752530633618,0.110995161137982,0.155312927213752,-4.60346191044607
"ROBLD3",3.82296707555436,120.806598258452,1.61723062366533,0.111058871830991,0.155395136641613,-4.60388127947486
"PRAF2",4.74017925344296,147.294356322309,1.61694180985966,0.111121342379645,0.155475603577754,-4.60429222903278
"RPRC1",-21.00869251421,396.740116920813,-1.61679802197583,0.111152454359697,0.155512189895818,-4.60449679815051
"KRTAP19-1",-1.73583173260542,86.0501369527002,-1.61676728910799,0.111159105071743,0.155514550980845,-4.60454052010523
"PMCH",1.47368543730763,84.1665160868321,1.61645590200674,0.11122650861022,0.155601902883857,-4.60498347075606
"ISX",1.52771927164072,83.6229814807244,1.61611352254501,0.111300658987562,0.15569868515185,-4.60547041879701
"LOC651860",-1.38483057558806,87.6577919954213,-1.61603261234964,0.111318187846515,0.155716254374228,-4.60558547935758
"ACTN2",-2.11202132618903,93.7473304443809,-1.61581431426369,0.111365492364999,0.155775471530952,-4.60589589001673
"FLJ90036",-1.9797412437375,90.0293998610032,-1.6157674257716,0.11137565507714,0.155782732621512,-4.60596255850053
"LOC100134035",-1.65501477162949,90.6050018396631,-1.61550776768847,0.1114319475075,0.155851090117757,-4.60633172196852
"PAQR6",76.338830289142,485.170027799354,1.61549611415411,0.111434474468572,0.155851090117757,-4.60634828887384
"CRIPAK",4.54582350430231,103.293254568497,1.61486978866227,0.111570355563035,0.156034167427455,-4.60723852635036
"RABEP1",-6.39871689020692,152.00550059278,-1.61484334981965,0.111576094407245,0.156035229052781,-4.60727609870873
"POTEB",-1.87195819572689,85.2337986999714,-1.61481429861912,0.111582400568033,0.156037083920147,-4.60731738285601
"DHX57",3.74848857585766,120.745057438371,1.61438286388197,0.111676086287769,0.156159612070852,-4.60793040767635
"FLJ45872",1.2862653332884,86.1694861207637,1.61436490192099,0.11167998809267,0.156159612070852,-4.60795592656513
"CCNJ",1.63924704005751,91.5799374514533,1.61433425195817,0.111686646316005,0.156161953398738,-4.60799947093591
"AMIGO1",2.59986183190672,99.6404317076162,1.614301764478,0.111693704061614,0.156164853110822,-4.60804562504531
"LOC730820",-3.27062776617015,116.879653325702,-1.61425784019725,0.11170324696951,0.15617122704545,-4.6081080257744
"LOC100129238",-1.53147002988025,85.0647684068517,-1.61420282688543,0.111715199989822,0.15618096981578,-4.60818617788269
"LOC100129966",1.37945634225247,83.4876701688402,1.61410814955728,0.111735773433314,0.156202762771459,-4.60832067116656
"C22orf30",7.96280498079126,165.781051469686,1.61374189418665,0.111815389811925,0.156300489150855,-4.60884088540901
"PHF17",3.06146359888567,99.5872266056171,1.61374067005211,0.111815655990476,0.156300489150855,-4.60884262394003
