"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PIH1D1",-0.156754037500001,7.99267082638889,-3.01143097574868,0.00694869664801772,0.116187320708243,-2.37437648809726
"QKI",0.460389662500001,10.9809120277778,3.01051489173105,0.00696300735054707,0.116329340848989,-2.37620355630162
"CHST1",-0.354660146875,10.2380124930556,-3.00930591856875,0.00698193704114932,0.116386962828085,-2.37861449879833
"DUSP19",-0.657916815625001,6.85689345138889,-3.00908996162208,0.00698532365094473,0.116386962828085,-2.3790451288206
"MYH10",-0.470959934375005,9.77691826736111,-3.00889869402512,0.00698832441053116,0.116386962828085,-2.3794265186178
"EFL1P1",-0.732254662500003,7.17109402083333,-3.0088087413097,0.00698973609143564,0.116386962828085,-2.37960588267348
"SLC9A1",-0.286723321875,9.0001348125,-3.00733043802012,0.00701297547673378,0.11659995106058,-2.38255334475719
"TFAP2E",0.442415903124999,8.79338359027778,3.00675036086794,0.00702211484343505,0.11659995106058,-2.38370978328177
"B4GALT3",-0.258998734375,8.82094926388889,-3.00666950963859,0.00702338960271879,0.11659995106058,-2.38387096212193
"KLHDC3",-0.443734890624999,11.0634864930556,-3.00651352279767,0.00702584963636359,0.11659995106058,-2.38418192163215
"TPMT",-0.461124781250001,7.88784896527778,-3.00576565316995,0.0070376556867731,0.116695130670283,-2.38567272618523
"BMERB1",-0.280846117187501,10.3183626909722,-3.00514140541462,0.00704752488275458,0.116695130670283,-2.38691701100156
"CDCA5",-0.265977940625001,6.48326913194444,-3.00504243532048,0.00704909080156526,0.116695130670283,-2.38711427594706
"CRHBP",-0.643345193750003,8.47430027777778,-3.004345412195,0.00706012872135278,0.11674489526417,-2.38850350715874
"KDM5B",-0.261642718750002,9.04529565972222,-3.00380457229564,0.00706870485418203,0.11674489526417,-2.38958137904233
"CYTH3",-0.224537659375001,8.93617765972222,-3.00343477380079,0.00707457456319137,0.11674489526417,-2.39031833624143
"MANEAL",-0.283984073437502,8.68814734375,-3.00337975913787,0.00707544819782851,0.11674489526417,-2.39042797033875
"PLEKHA3",-0.372028890625002,8.15632792013889,-3.00227144049869,0.00709307054265414,0.116875699619619,-2.39263650690339
"DIO2",-0.6180790125,6.57440122916667,-3.00214620411491,0.00709506447335818,0.116875699619619,-2.3928860477148
"IRF2BP2",0.254976865624998,9.41536770138889,3.00130441518068,0.00710848093261655,0.116899066561607,-2.3945632737924
"MB21D2",-0.482897951562501,8.93442763194444,-3.00115573469872,0.00711085315128852,0.116899066561607,-2.39485949702875
"PMM1",-0.381045378125004,8.22739979861111,-3.00095734976695,0.007114019602234,0.116899066561607,-2.39525474140569
"OSGIN1",0.251174259374997,7.91492960416667,3.00047218976691,0.00712176904963319,0.116930326317376,-2.39622129504031
"SMOC1",0.587111112499999,9.62334615972222,2.99983769487389,0.00713191612130881,0.117000868411758,-2.39748528260636
"DST",0.300697403124998,10.8634031527778,2.99827235144061,0.00715700939882927,0.117130082491366,-2.40060325720875
"ATG12",-0.34426938125,7.61425142361111,-2.99809124562501,0.00715991811627244,0.117130082491366,-2.40096396391707
"GABRB3",-0.556583075000002,10.6388469444444,-2.99800802756077,0.00716125505370641,0.117130082491366,-2.40112970615726
"LRRFIP1",-1.0487210140625,8.10130543402778,-2.99788569220846,0.0071632208664337,0.117130082491366,-2.40137335408863
"ENPP5",-0.789015828125002,9.19854779861111,-2.9972501184604,0.00717344231977089,0.11717648851624,-2.40263913585649
"MRPS12",-0.295625371874999,7.39635317708333,-2.99652283278919,0.007185155983604,0.11717648851624,-2.40408745999411
"SLC6A16",0.311318106249997,7.52480559027778,2.99623798304694,0.00718974880479943,0.11717648851624,-2.40465468148369
"CABP2",0.361746821875,8.43484068402778,2.99573232556072,0.007197908837997,0.11717648851624,-2.4056615542952
"CACNB2",-0.471014509374999,9.79629983680556,-2.9952933980224,0.00720499926691884,0.11717648851624,-2.40653550850264
"RPP14",-0.6618297625,8.37976645138889,-2.99522544032793,0.00720609765713608,0.11717648851624,-2.40667081619884
"KIAA1549L",-0.7678587515625,9.51240821875,-2.99467830893048,0.00721494675317454,0.11717648851624,-2.4077601499275
"MRPS2",-0.20835839375,8.97887194444444,-2.99461451528678,0.00721597921003411,0.11717648851624,-2.407887158275
"PRMT8",-0.461979343749998,7.92425515972222,-2.99440434202302,0.00721938173087123,0.11717648851624,-2.40830559119043
"SNORA80E",0.7958231359375,10.1872515590278,2.99407892626324,0.00722465298232444,0.11717648851624,-2.40895344090634
"MT1DP",0.408751446875002,10.6360340972222,2.99360878123365,0.00723227519476967,0.11718881505265,-2.40988938238603
"BPHL",-0.436531173437499,8.03619885763889,-2.99219454745397,0.00725525024285722,0.11718881505265,-2.41270447944709
"PPP1R16B",-0.396109409375002,9.74093032986111,-2.99202302667674,0.00725804148305944,0.11718881505265,-2.41304586981995
"CABLES1",-0.591835112499998,8.96609853472222,-2.99112076449608,0.00727274150555388,0.11718881505265,-2.41484160287706
